Foreign_or_Domestic,IMDB_score,Netflix_Original,TV_or_Movie,date,genre,language,title,year
foreign,7.4,,movie ,04/20/2020,"Comedy, Drama, Fantasy, Thriller",Arabic,1000 Mabrouk,2009
foreign,,,movie ,04/20/2020,Comedy,Arabic,Bittersweet ,2010
foreign,,,movie ,04/20/2020,"Drama, Middle-east",Arabic,Cairo Class,
foreign,7.2,Netflix Original,movie ,04/20/2020,Documentary,English,"Coronavirus, Explained ",
foreign,8.5,,movie ,04/20/2020,"Documentary, Biography",English,No Direction Home: Bob Dylan ,2005
foreign,5.8,,movie ,04/20/2020,"Middle-east, Action, Thriller",Arabic,The Dealer ,2010
foreign,6.2,,movie ,04/20/2020,"Drama, Sport",Arabic,The International Player (El alamy) ,2009
foreign,8.3,Netflix Original,movie ,04/20/2020,"Action, Drama, History",English,The Last Kingdom ,
foreign,7.1,,movie ,04/20/2020,"Action, Comedy, Romance",Telugu,Bheeshma ,2020
foreign,8.4,,movie ,04/20/2020,"Drama, Western",English,Django Unchained ,2012
foreign,7.4,,movie ,04/20/2020,"Comedy, Romance",Korean,My Secret Romance ,
foreign,7.9,,movie ,04/20/2020,"Comedy, Drama, Romance",English,The Artist ,2011
foreign,5.7,,movie ,04/20/2020,"Action, Drama, Romance",Arabic,The Promise ,2008
foreign,8.4,Netflix Original,movie ,04/20/2020,"Comedy, Drama",English,After Life,
foreign,6.7,,movie ,04/20/2020,"Animation, Adventure, Comedy, Family, Fantasy, Horror, Mystery, Romance, Sci-Fi",English,DreamWorks Spooky Stories: Volume 2 ,2012
foreign,7.6,Netflix Original,movie ,04/20/2020,"Action, Drama",English,Extraction,2020
foreign,8.6,Netflix Original,movie ,04/20/2020,Adventure,English,Hello Ninja ,
foreign,,,movie ,04/20/2020,"Drama, Thriller",Tamil,Kolaiyuthir Kaalam ,2019
foreign,,Netflix Original,movie ,04/20/2020,"Comedy, Romance",Turkish,Love 101 ,
foreign,5.6,,movie ,04/20/2020,"Adventure, Comedy, Drama, Family, Fantasy",English,Mirror Mirror ,2012
foreign,,Netflix Original,movie ,04/20/2020,Comedy,English,"Yours Sincerely, Kanan Gill ",2020
foreign,,Netflix Original,movie ,04/20/2020,"Animation, Action, Sci-Fi",Japanese,Ghost in the Shell: SAC_2045 ,
foreign,7.3,,movie ,04/20/2020,Comedy,Indonesian,My Stupid Boss ,2016
foreign,6.8,,movie ,04/20/2020,"Comedy, Drama",Indonesian,My Stupid Boss 2 ,2019
foreign,7.7,Netflix Original,movie ,04/20/2020,Comedy,Spanish,The House of Flowers,
foreign,,,movie ,04/20/2020,Dramas,Indonesian,This Earth of Mankind ,
foreign,6.1,Netflix Original,movie ,04/20/2020,"Crime, Drama, Sci-Fi, Thriller",Korean,Time to Hunt ,2020
foreign,,Netflix Original,movie ,04/20/2020,Documentary,English,Absurd Planet ,
foreign,7.6,Netflix Original,movie ,04/20/2020,Documentary,English,Circus of Books ,2019
foreign,,Netflix Original,movie ,04/20/2020,"Thriller, Crime",Polish,The Plagues of Breslau,2018
foreign,,,movie ,04/20/2020,"Crime, Drama",English,The Set Up ,2019
foreign,6.1,Netflix Original,movie ,04/20/2020,Thriller,Spanish,The Silence of the Marsh ,2019
foreign,7.2,Netflix Original,movie ,04/20/2020,"Animation, Comedy, Family",English,The Willoughbys ,2020
foreign,8.2,,movie ,04/20/2020,"Documentary, Adventure, Game-Show",English,Win the Wilderness ,
foreign,6.4,,movie ,04/20/2020,"Action, Adventure, Fantasy",Japanese,Bleach ,
foreign,7.7,Netflix Original,movie ,04/20/2020,Comedy,English,Middleditch & Schwartz,
foreign,7.7,,movie ,04/20/2020,"Biography, Music",Spanish,Nicky Jam: El Ganador ,
 ,,Netflix Original,series,04/13/2020,"Food, Competition, Reality",English,Cooked with Cannabis ,
 ,,Netflix Original,series,04/13/2020,Animation,English,The Midnight Gospel ,
 ,4.9,,series,04/13/2020,"Horror, Thriller",English,The Vatican Tapes ,2015
 ,7.0,,series,04/13/2020,Drama,Malayalam,Varane Avashyamund ,2020
 ,5.8,,series,04/13/2020,"Action, Comedy",English,The Green Hornet ,2011
 ,5.0,Netflix Original,series,04/13/2020,Comedy,English,#blackAF,
 ,6.6,Netflix Original,series,04/13/2020,Comedy,Turkish,Babam?n Ceketi ,2018
 ,,Netflix Original,series,04/13/2020,Action,French,Earth and Blood ,2020
 ,6.9,,series,04/13/2020,"Action, Adventure, Drama",Spanish,El Dragón: Return of a Warrior ,
 ,6.2,Netflix Original,series,04/13/2020,Comedy,Hindi,Hasmukh ,
 ,5.9,Netflix Original,series,04/13/2020,Comedy,German,Rising High (Betonrausch) ,2020
 ,6.9,Netflix Original,series,04/13/2020,Drama,English,Sergio ,2020
 ,7.7,Netflix Original,series,04/13/2020,"Animation, Short, Adventure, Comedy, Family, Horror",English,The Last Kids on Earth ,
